horse_id, country, age, sex, import_type, total_stakes, first, second, third, total_race_no, sire, dam, dam_sire
A051, NZ, 5, Gelding, PPG, 8743860, 7, 3, 0, 16, Dylan Thomas, More Than Sum, More Than Ready
A050, NZ, 5, Gelding, PPG, 6472650, 5, 8, 2, 26, Denman, Tsukioka, Flying Spur
A027, NZ, NA, Gelding, PPG, 549400, 0, 1, 1, 18, Darci Brahma, Boogie Nights, Galileo
A025, AUS, 6, Gelding, PP, 12843350, 6, 5, 2, 25, Starcraft, Sunday Service, Sunday Silence
A038, AUS, NA, Mare, PP, 0, 0, 0, 0, 2, Exceed And Excel, Heptonstall, Octagonal
A090, AUS, NA, Gelding, PP, 16646760, 5, 3, 1, 20, Encosta de Lago, Alsatia, Marauding
A004, NZ, NA, Gelding, PP, 367425, 0, 1, 1, 12, O'Reilly, Frockstar, Pins
A002, AUS, 6, Gelding, PP, 7839875, 4, 6, 1, 29, Duke Of Marmalade, Countess Of Tiba, Second Empire
A008, AUS, 5, Gelding, PPG, 5589425, 3, 9, 7, 37, Hinchinbrook, Kianben, Jan Murray
A026, AUS, NA, Gelding, PPG, 455400, 1, 0, 0, 19, Bel Esprit, Swinging Feeling, Danasinga
A031, AUS, 5, Gelding, PPG, 715950, 1, 1, 1, 19, Foxwedge, Sunday Service, Sunday Silence
A012, AUS, 6, Gelding, PPG, 990100, 1, 1, 4, 24, Racer's Edge, Shezgonewest, Mugharreb
A044, NZ, 6, Gelding, PPG, 340800, 0, 1, 0, 13, Casino Prince, Miraflores, Johar
A041, NZ, 6, Gelding, PP, 3107950, 1, 3, 4, 25, Shocking, Zaquabeel, Zabeel
A096, NZ, NA, Gelding, PP, 43225, 0, 0, 0, 5, Savabeel, Beyond, Centaine
A101, AUS, 5, Gelding, PPG, 411750, 0, 2, 0, 19, Artie Schiller, Pyrotechnics, Canny Lad
A052, AUS, 6, Gelding, PPG, 3015700, 4, 1, 3, 25, Exceed And Excel, Dyna Slam, Grand Slam
A083, NZ, 6, Gelding, PPG, 1667560, 3, 0, 2, 27, O'Reilly, Former Glory, Dynaformer
A097, AUS, 5, Gelding, PP, 1635425, 1, 2, 2, 22, Street Boss, Whisper Her Name, French Deputy
