race_id, date, race_no, class, distance, rating_upper, rating_lower, condition, course_type, track
2008010901,20080109,1,5,2200M,40,10,GOOD,TURF,A
2008010902,20080109,2,4,1200M,60,40,GOOD,TURF,A
2008010903,20080109,3,4,1200M,60,40,GOOD,TURF,A
2008010904,20080109,4,4,1650M,60,40,GOOD,TURF,A
2008010905,20080109,5,3,1200M,80,60,GOOD,TURF,A
2008010906,20080109,6,3,1650M,80,60,GOOD,TURF,A
2008010907,20080109,7,1,1800M,110,90,GOOD,TURF,A
2008010908,20080109,8,2,1000M,95,75,GOOD,TURF,A
2008011601,20080116,1,4,1000M,60,40,GOOD,TURF,B
2008011602,20080116,2,4,1200M,60,40,GOOD,TURF,B
2008011603,20080116,3,3,1650M,80,60,GOOD,TURF,B
2008011604,20080116,4,5,1650M,40,15,GOOD,TURF,B
2008011605,20080116,5,4,1800M,60,40,GOOD,TURF,B
2008011606,20080116,6,4,1650M,60,40,GOOD,TURF,B
2008011607,20080116,7,3,1000M,80,60,GOOD,TURF,B
2008011608,20080116,8,3,1800M,80,60,GOOD,TURF,B
2008012301,20080123,1,5,1200M,40,10,GOOD,TURF,C
2008012302,20080123,2,3,1200M,80,60,GOOD,TURF,C
2008012303,20080123,3,5,1650M,40,10,GOOD,TURF,C
2008012304,20080123,4,4,1200M,60,40,GOOD,TURF,C
2008012305,20080123,5,4,1650M,60,40,GOOD,TURF,C
2008012306,20080123,6,4,1650M,60,40,GOOD,TURF,C
2008012307,20080123,7,3,1650M,80,60,GOOD,TURF,C
2008012308,20080123,8,2,1650M,95,75,GOOD,TURF,C
2008013001,20080130,1,4,1000M,60,40,GOOD,TURF,C+3
2008013002,20080130,2,5,1200M,40,10,GOOD TO YIELDING,TURF,C+3
2008013003,20080130,3,2,2200M,95,75,GOOD TO YIELDING,TURF,C+3
2008013004,20080130,4,4,1200M,60,40,GOOD TO YIELDING,TURF,C+3
2008013005,20080130,5,5,1650M,40,15,YIELDING,TURF,C+3
2008013006,20080130,6,4,1800M,60,40,YIELDING,TURF,C+3
2008013007,20080130,7,3,1200M,80,60,YIELDING,TURF,C+3
2008013008,20080130,8,3,1650M,80,60,YIELDING,TURF,C+3
2008021301,20080213,1,5,1000M,40,10,GOOD,TURF,A
2008021302,20080213,2,4,1200M,60,40,GOOD,TURF,A
2008021303,20080213,3,3,1000M,80,60,GOOD,TURF,A
2008021304,20080213,4,5,1650M,40,10,GOOD,TURF,A
2008021305,20080213,5,4,1650M,60,40,GOOD,TURF,A
2008021306,20080213,6,3,1650M,80,60,GOOD,TURF,A
2008021307,20080213,7,2,1800M,100,75,GOOD,TURF,A
2008021308,20080213,8,2,1200M,100,75,GOOD,TURF,A
2008022001,20080220,1,4,1000M,60,40,GOOD,TURF,B
2008022002,20080220,2,5,1800M,40,10,GOOD,TURF,B
2008022003,20080220,3,4,1650M,60,40,GOOD,TURF,B
2008022004,20080220,4,4,1200M,60,40,GOOD,TURF,B
2008022005,20080220,5,4,1650M,60,40,GOOD,TURF,B
2008022006,20080220,6,3,1200M,80,60,GOOD,TURF,B
2008022007,20080220,7,3,1000M,80,60,GOOD,TURF,B
2008022008,20080220,8,3,1650M,80,60,GOOD,TURF,B
2008022701,20080227,1,4,1200M,60,40,GOOD,TURF,C
2008022702,20080227,2,5,1200M,40,15,GOOD,TURF,C
2008022703,20080227,3,3,1200M,80,60,GOOD,TURF,C
2008022704,20080227,4,4,1800M,60,40,GOOD,TURF,C
2008022705,20080227,5,3,1800M,80,60,GOOD,TURF,C
2008022706,20080227,6,3,1650M,80,60,GOOD,TURF,C
2008022707,20080227,7,1,1200M,105,80,GOOD,TURF,C
2008022708,20080227,8,2,1650M,100,80,GOOD,TURF,C
2008030501,20080305,1,4,1000M,60,40,GOOD,TURF,A
2008030502,20080305,2,5,1650M,40,10,GOOD,TURF,A
2008030503,20080305,3,3,1200M,80,60,GOOD,TURF,A
2008030504,20080305,4,4,1650M,60,40,GOOD,TURF,A
