race_id, date, race_no, class, distance, rating_upper, rating_lower, condition, course_type, track

2008010101,20080101,1,5,1200M,40,15,GOOD TO FIRM,TURF,A
2008010102,20080101,2,5,1600M,40,15,GOOD TO FIRM,TURF,A
2008010103,20080101,3,4,1600M,60,40,GOOD TO FIRM,TURF,A
2008010104,20080101,4,4,1200M,60,40,GOOD TO FIRM,TURF,A
2008010105,20080101,5,4,1400M,60,40,GOOD TO FIRM,TURF,A
2008010106,20080101,6,4,1400M,60,40,GOOD TO FIRM,TURF,A
2008010107,20080101,7,2,1600M,100,80,GOOD TO FIRM,TURF,A
2008010108,20080101,8,2,2000M,95,75,GOOD TO FIRM,TURF,A
2008010109,20080101,9,3,1200M,80,60,GOOD TO FIRM,TURF,A
2008010110,20080101,10,,1400M,95+,95+,GOOD TO FIRM,TURF,A
2008010111,20080101,11,3,1400M,80,60,GOOD TO FIRM,TURF,A
2008010601,20080106,1,5,1400M,40,15,GOOD TO FIRM,TURF,C+3
2008010602,20080106,2,4,1600M,60,40,GOOD TO FIRM,TURF,C+3
2008010603,20080106,3,,1000M,90+,90+,GOOD TO FIRM,TURF,C+3
2008010604,20080106,4,5,1650M,40,10,GOOD,ALL WEATHER TRACK,NA
2008010605,20080106,5,4,1800M,60,40,GOOD,ALL WEATHER TRACK,NA
2008010606,20080106,6,3,1800M,80,60,GOOD TO FIRM,TURF,C+3
2008010607,20080106,7,3,1000M,80,60,GOOD TO FIRM,TURF,C+3
2008010608,20080106,8,4,1400M,65,40,GOOD TO FIRM,TURF,C+3
2008010609,20080106,9,3,1600M,80,60,GOOD TO FIRM,TURF,C+3
2008010610,20080106,10,2,1400M,100,80,GOOD TO FIRM,TURF,C+3
2008011201,20080112,1,4,1000M,60,40,GOOD,TURF,A+3
2008011202,20080112,2,3,1650M,80,60,GOOD,ALL WEATHER TRACK,NA
2008011203,20080112,3,4,1400M,60,40,GOOD,TURF,A+3
2008011204,20080112,4,5,1400M,40,10,GOOD,TURF,A+3
2008011205,20080112,5,4,1400M,60,40,GOOD,TURF,A+3
2008011206,20080112,6,4,2000M,60,40,GOOD,TURF,A+3
2008011207,20080112,7,3,1200M,80,60,GOOD,ALL WEATHER TRACK,NA
2008011208,20080112,8,2,1650M,100,80,GOOD,ALL WEATHER TRACK,NA
2008011209,20080112,9,3,1400M,80,60,GOOD,TURF,A+3
2008011210,20080112,10,3,1400M,80,60,GOOD,TURF,A+3
2008012002,20080120,2,1,1600M,110,90,GOOD,TURF,B+2
2008012004,20080120,4,4,1600M,60,40,GOOD,TURF,B+2
2008012006,20080120,6,4,1400M,60,40,GOOD,TURF,B+2
2008012009,20080120,9,3,1600M,80,60,GOOD,TURF,B+2
2008012701,20080127,1,4,1200M,60,40,GOOD,ALL WEATHER TRACK,NA
2008012703,20080127,3,3,1400M,80,60,GOOD,TURF,C
2008012704,20080127,4,3,1000M,80,60,GOOD,TURF,C
2008012705,20080127,5,2,1200M,100,80,GOOD,ALL WEATHER TRACK,NA
2008012706,20080127,6,4,1400M,60,40,GOOD,TURF,C
2008012707,20080127,7,3 YEAR OLDS AND UPWARDS,1000M,NA,NA,GOOD,TURF,C
2008012708,20080127,8,3,1800M,80,60,GOOD,TURF,C
2008012709,20080127,9,1,1400M,105,80,GOOD,TURF,C
2008012710,20080127,10,3,1400M,80,60,GOOD,TURF,C
2008020201,20080202,1,4,1000M,60,40,GOOD TO YIELDING,TURF,C+3
2008020202,20080202,2,5,1800M,40,15,YIELDING,TURF,C+3
2008020203,20080202,3,3,1800M,80,60,WET SLOW,ALL WEATHER TRACK,NA
2008020204,20080202,4,4,1650M,60,40,WET SLOW,ALL WEATHER TRACK,NA
2008020205,20080202,5,5,1400M,40,10,YIELDING,TURF,C+3
2008020206,20080202,6,4,1400M,60,40,YIELDING,TURF,C+3
2008020207,20080202,7,,1800M,90+,90+,YIELDING,TURF,C+3
2008020208,20080202,8,3,1200M,80,60,WET SLOW,ALL WEATHER TRACK,NA
2008020209,20080202,9,2,1600M,95,75,YIELDING,TURF,C+3
2008020210,20080202,10,3,1400M,80,60,YIELDING,TURF,C+3
2008020901,20080209,1,5,1600M,40,15,GOOD,TURF,A
2008020902,20080209,2,4,1800M,60,40,GOOD,TURF,A
2008020903,20080209,3,3,1600M,80,60,GOOD,TURF,A
2008020904,20080209,4,1,1200M,105,80,GOOD,TURF,A
2008020905,20080209,5,4,1600M,60,40,GOOD,TURF,A
2008020906,20080209,6,4,1400M,60,40,GOOD,TURF,A
2008020907,20080209,7,4,1200M,60,40,GOOD,TURF,A
2008020908,20080209,8,1,1400M,120,95,GOOD,TURF,A
2008020909,20080209,9,3,1200M,80,60,GOOD,TURF,A
2008020910,20080209,10,3,1400M,80,60,GOOD,TURF,A
2008021701,20080217,1,4,2000M,60,40,GOOD,TURF,A+3
2008021702,20080217,2,4,1200M,60,40,GOOD,TURF,A+3
2008021703,20080217,3,3,2000M,80,60,GOOD,TURF,A+3
2008021704,20080217,4,5,1400M,45,20,GOOD,TURF,A+3
2008021705,20080217,5,3,1200M,80,60,GOOD,TURF,A+3
2008021706,20080217,6,4,1400M,65,40,GOOD,TURF,A+3
2008021707,20080217,7,3 YEAR OLDS AND UPWARDS,1200M,NA,NA,GOOD,TURF,A+3
2008021708,20080217,8,3,1600M,80,60,GOOD,TURF,A+3
2008021709,20080217,9,4 Year Olds,1800M,NA,NA,GOOD,TURF,A+3
2008021710,20080217,10,2,1400M,100,80,GOOD,TURF,A+3
2008022401,20080224,1,4,1200M,60,40,GOOD,ALL WEATHER TRACK,NA
2008022402,20080224,2,4,1400M,60,40,GOOD,TURF,B+2
2008022403,20080224,3,1,1600M,110,85,GOOD,TURF,B+2
2008022404,20080224,4,5,1650M,40,10,GOOD,ALL WEATHER TRACK,NA
2008022405,20080224,5,4,1600M,60,40,GOOD,TURF,B+2
2008022406,20080224,6,3,1650M,80,60,GOOD,ALL WEATHER TRACK,NA
2008022407,20080224,7,3 YEAR OLDS AND UPWARDS,2000M,NA,NA,GOOD,TURF,B+2
2008022408,20080224,8,3,1200M,80,60,GOOD,TURF,B+2
2008022409,20080224,9,3,1400M,80,60,GOOD,TURF,B+2
2008022410,20080224,10,2,1800M,95,75,GOOD,TURF,B+2
2008030101,20080301,1,1,1600M,NA,NA,GOOD,TURF,C
2008030102,20080301,2,4,1400M,60,40,GOOD,TURF,C
2008030103,20080301,3,3,1400M,80,60,GOOD,TURF,C
2008030104,20080301,4,5,1400M,40,0,GOOD,TURF,C
2008030105,20080301,5,4,1650M,60,40,GOOD,ALL WEATHER TRACK,NA
