place, horse_no, horse_name, horse_id, jockey, trainer, actual_weight, declared_weight, draw, length_behind_winner, finish_time, win_odds, running_position_1, running_position_2, running_position_3, running_position_4, running_position_5, running_position_6

1,3,FASTER FASTER,G010,C Soumillon,D E Ferraris,129,1245,6,-,1.10.60,6.6,11,NA,NA,NA,NA,NA
2,4,NAMJONG SKY,H129,B Prebble,D J Hall,126,1144,7,3/4,1.10.70,5.7,7,NA,NA,NA,NA,NA
3 DH,2,PALIO KING,G073,G Mosse,A Lee,132,1115,4,1-1/4,1.10.80,5.3,9,NA,NA,NA,NA,NA
3 DH,11,MUTUAL GAIN,E275,M W Leung,T W Leung,112,1074,5,1-1/4,1.10.80,9.7,6,NA,NA,NA,NA,NA
5,12,AMBITION,CC07,W M Lai,K W Lui,113,1072,3,3,1.11.10,13,8,NA,NA,NA,NA,NA
6,8,MASTER YING,CB24,E Saint-Martin,T K Ng,120,1171,8,3-3/4,1.11.20,6.6,NA,NA,NA,NA,NA,NA
7,9,UNIVERSAL PIONEER,CB29,C K Tong,C S Shum,114,1154,10,5,1.11.40,11,4,NA,NA,NA,NA,NA
8,5,STEP FORWARD,CB16,K T Yeung,A Schutz,116,1120,9,5-1/2,1.11.50,63,12,NA,NA,NA,NA,NA
9,7,SIMPLY THE BEST,E014,P H Lo,D Cruz,115,1138,12,6-1/2,1.11.60,55,9,NA,NA,NA,NA,NA
10,10,LUCKY MAN,G061,Z Purton,T K Ng,118,1163,2,12-1/4,1.12.50,34,NA,NA,NA,NA,NA,NA
11,1,DIAGHILEV,H241,K L Chui,A Schutz,127,1083,1,12-1/4,1.12.60,7.4,5,NA,NA,NA,NA,NA
12,6,MAJIN BUU,CC33,D Whyte,Y S Tsui,122,1088,11,14,1.12.80,11,NA,NA,NA,NA,NA,NA
1,1,ACCELERATOR,G179,C Soumillon,S Woods,133,933,7,-,1.36.40,3.7,9,NA,NA,NA,NA,NA
2,11,WAVY PEAK,CD08,G Boss,P F Yiu,118,1115,2,SH,1.36.40,3.5,NA,NA,NA,NA,NA,NA
3,5,DONGGUAN VICTORY,CB38,S K Sit,Y S Tsui,124,1063,6,2-3/4,1.36.90,25,NA,NA,NA,NA,NA,NA
4,7,RISING WIN,CC08,M W Leung,T W Leung,118,1094,8,2-3/4,1.36.90,12,11,NA,NA,NA,NA,NA
5,2,PILLOW KING,E291,O Doleuze,A Schutz,130,1072,12,3-3/4,1.37.00,33,NA,NA,NA,NA,NA,NA
6,4,FANTASTIC WIN,CB18,P H Lo,Y S Tsui,120,1052,9,4-1/2,1.37.10,35,NA,NA,NA,NA,NA,NA
7,8,STAR PRODIGY,CD29,C K Tong,C Fownes,118,1112,5,4-3/4,1.37.20,6.5,2,NA,NA,NA,NA,NA
8,12,SPEED OF LIGHT,CC33,F Coetzee,B K Ng,117,1129,4,5-1/4,1.37.20,9,6,NA,NA,NA,NA,NA
9,9,DANZIGMOUNTAIN,G139,E Saint-Martin,C S Shum,120,1019,10,7-1/4,1.37.60,45,13,NA,NA,NA,NA,NA
10,6,VITALITY CHAMP,CD30,D Whyte,T K Ng,126,1155,3,7-1/2,1.37.60,7.9,4,NA,NA,NA,NA,NA
11,10,MULLAAD,G259,M Nunes,D Cruz,118,1104,11,7-3/4,1.37.60,27,10,NA,NA,NA,NA,NA
12,13,FABULOUS TREASURE,G069,K L Chui,A Schutz,108,1104,13,9-1/4,1.37.90,33,NA,NA,NA,NA,NA,NA
13,3,TOP SPEED,H019,W M Lai,K W Lui,128,1051,1,14-1/4,1.38.70,85,8,NA,NA,NA,NA,NA
1,4,LIVERBIRD,E055,E Saint-Martin,C S Shum,129,1133,6,-,1.35.00,8.4,12,NA,NA,NA,NA,NA
2,6,KING OF FISH,CB10,D Beadman,K L Man,127,1140,13,2-1/2,1.35.40,10,7,NA,NA,NA,NA,NA
3,9,KEY WINNER,G157,O Doleuze,A Schutz,121,1039,7,4-1/4,1.35.70,13,NA,NA,NA,NA,NA,NA
4,14,ABLE STANDARD,G043,M Nunes,K W Lui,114,1064,12,4-1/2,1.35.70,15,5,NA,NA,NA,NA,NA
5,3,CHAMPION PIONEER,G305,G Mosse,A Lee,130,1061,11,5-3/4,1.35.90,5.4,8,NA,NA,NA,NA,NA
6,8,EXPEDITIOUS,E136,K T Yeung,B K Ng,114,1108,1,7-1/2,1.36.20,8.2,4,NA,NA,NA,NA,NA
7,10,KINGSTON TEMPLE,H234,W M Lai,T K Ng,118,1120,2,8,1.36.30,86,10,NA,NA,NA,NA,NA
8,12,ALWAYS ZIETEN,CB09,H W Lai,L Ho,113,1131,4,8-1/4,1.36.30,79,NA,NA,NA,NA,NA,NA
